5.000000000000000000e+00,5.982344167967419690e-02,1.915364489558537761e-02,5.267135313437715932e-02,6.697553022497122754e-02,1.073408402268940520e-01
1.000000000000000000e+01,1.538320397651197005e-02,9.400678931164594201e-03,1.187293277392253467e-02,1.889347517910140717e-02,5.746586759428076729e-02
2.000000000000000000e+01,3.314021413343524666e-03,1.057319741016749188e-03,2.919211733532385555e-03,3.708831093154663777e-03,6.719731021190685112e-03
4.000000000000000000e+01,6.940666082517817515e-04,7.055850451348053725e-05,6.677196296659739785e-04,7.204135868375895245e-04,8.738442035943339145e-04
8.000000000000000000e+01,1.579976903647014664e-04,7.009357624841634578e-06,1.553803532128534084e-04,1.606150275165495243e-04,1.805529365016225903e-04
1.600000000000000000e+02,3.998557904288039383e-05,5.692791117094587970e-06,3.785985590447527607e-05,4.211130218128551159e-05,6.973854065601961722e-05
3.200000000000000000e+02,1.230135746508498435e-05,1.241378274530847842e-05,7.665974807604984543e-06,1.693674012256498246e-05,7.908136105674213213e-05
6.400000000000000000e+02,2.430614039332660191e-06,3.785155649021535297e-08,2.416480035853368083e-06,2.444748042811952299e-06,2.507748176862047023e-06
1.280000000000000000e+03,7.431496903142951430e-07,6.508355013417051695e-07,5.001237200932678059e-07,9.861756605353224801e-07,4.235606139723372997e-06
2.560000000000000000e+03,1.516501298095884028e-07,4.359366632031602830e-09,1.500223155568093066e-07,1.532779440623674989e-07,1.627450281390178148e-07
5.120000000000000000e+03,3.862169046156867485e-08,1.834461138222654185e-09,3.793669141491208954e-08,3.930668950822526015e-08,4.430775645214578068e-08
1.024000000000000000e+04,9.736018075172942638e-09,1.193028350646070509e-09,9.290533967715305098e-09,1.018150218263058018e-08,1.573439928289622471e-08
2.048000000000000000e+04,2.410422773150111570e-09,1.655703064839787094e-10,2.348597804644074501e-09,2.472247741656148640e-09,3.183304014146145042e-09
